"번호","지역","지역2","순위","차수","리파이낸싱","신축","다세대","타운하우스","건축자금","담보","NPL","근질권","ABL","주택","오피스텔","신도시","개발지구","마을","아파트","빌딩","빌라","상가","단독주택","수익률","투자기간","등급","모집금액","투자인원","Y"
1700,"수원","북수동",2,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,15,5,"D2",5000,101,"0"
1691,"여주대","인근",1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.77,9,"B3",4830,130,"0"
1683,"고양","행신동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8.5,3,"A3",9000,158,"0"
1682,"여주대","인근",1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.49,7,"B2",51660,978,"0"
1678,"여주대","인근",1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.77,7,"B3",21740,508,"0"
1672,"여주대","인근",1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.49,7,"B2",7050,243,"0"
1671,"여주대","인근",1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.63,9,"B3",6910,324,"0"
1663,"여주대","인근",1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.77,7,"B3",18320,361,"0"
1661,"진안군청","인근",1,11,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.28,5,"B1",14000,261,"0"
1656,"인천","용현동",1,15,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12,6,"B1",15000,327,"0"
1655,"서울","동선동",2,13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,"D2",12000,241,"0"
1654,"서울","서교동",2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,"D2",5000,99,"0"
1646,"여주대","인근",1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.77,9,"B3",4840,165,"0"
1645,"여주대","인근",1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.77,7,"B3",28080,676,"0"
1637,"합천아파트","신축사업",2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.5,7,"D2",40000,634,"0"
1635,"화성","청계동",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9,12,"A2",1000,31,"0"
1630,"합천아파트","신축사업",1,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.98,4,"B2",20000,334,"0"
1628,"제주","신화월드",1,22,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.21,5,"B1",35000,675,"0"
1624,"송파","신천동",2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.5,6,"A3",2000,36,"0"
1610,"서귀포","산방산",1,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.77,5,"B3",33990,668,"0"
1608,"서산","테크노밸리",1,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,6,"C3",30000,580,"0"
1594,"송파","신천동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.5,6,"A3",11000,220,"0"
1592,"제주","신화월드",1,21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.21,5,"B1",68000,1332,"0"
1568,"서울","서교동",2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,"D2",5000,74,"0"
1565,"용인","메종",1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.42,3,"B2",88000,1111,"0"
1562,"수원","북수동",2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,15,5,"D2",5000,91,"0"
1559,"용인","메종",1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.42,3,"B2",99902,1497,"0"
1555,"용인","메종",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.42,3,"B2",1e+05,1417,"0"
1539,"광진","자양동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,"A2",180,153,"0"
1535,"인천","주안동",1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.56,4,"B2",4000,38,"0"
1534,"송파","잠실동",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9,12,"A2",13000,235,"0"
1533,"수원","세류동",1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,9.5,12,"A2",15000,290,"0"
1532,"서귀포","산방산",1,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.77,6,"B3",15000,385,"0"
1531,"서산","테크노밸리",1,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,6,"C3",30000,638,"0"
1524,"성남","서현동",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,12,"A2",18000,410,"0"
1522,"인천","용현동",1,14,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12,7,"B1",9500,209,"0"
1511,"송파","장지동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,"A2",150,71,"0"
1509,"진안군청","인근",1,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.28,6,"B1",11000,243,"0"
1508,"동작","사당동",1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,9.3,12,"A3",25000,377,"0"
1501,"성동","옥수동",2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,"A2",13000,240,"0"
1494,"구로","개봉동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,6,"A2",12000,307,"0"
1489,"성동","옥수동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,"A2",10000,220,"0"
1488,"종로","구기동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.5,6,"A2",10000,274,"0"
1487,"강남","청담동",3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9.2,12,"A2",3000,87,"0"
1485,"마포","현석동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,"A2",45000,591,"0"
1480,"영등포","도림동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A2",12000,276,"0"
1476,"강서","방화동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,6,"A2",8000,111,"0"
1475,"강서","염창동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,"A2",5000,111,"0"
1474,"강서","마곡동",3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,"A2",5000,92,"0"
1466,"합천아파트","신축사업",1,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.98,5,"B2",50000,1074,"0"
1465,"제주","신화월드",1,19,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.21,6,"B1",80000,1403,"0"
1464,"양평역","인근",1,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,"C1",19000,362,"0"
1462,"마포","토정동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A2",10000,199,"0"
1459,"노원","하계동",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5,6,"A1",5000,87,"0"
1458,"하남","덕풍동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,6,"A3",3000,78,"0"
1457,"서초","잠원동",2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,"A3",60000,1144,"0"
1456,"제주","신화월드",1,18,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.21,6,"B1",50000,883,"0"
1455,"서울","동선동",2,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,"D2",7000,53,"0"
1453,"서초","잠원동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,"A3",30000,452,"0"
1452,"서산","테크노밸리",1,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,7,"C3",10000,178,"0"
1449,"중구","신당동",2,21,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8.5,3,"A2",10000,171,"0"
1447,"수원","북수동",2,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,15,7,"D2",10000,128,"0"
1445,"성남","수내동",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9.5,12,"B2",30000,627,"0"
1446,"은평","신사동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A2",5000,110,"0"
1444,"금천","독산동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A2",6000,119,"0"
1443,"중구","신당동",2,20,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8.5,3,"A2",10000,184,"0"
1441,"중구","신당동",2,19,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8.5,3,"A2",10000,164,"0"
1439,"평택","국가산업단지",1,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,"C1",20000,345,"0"
1438,"중구","신당동",2,18,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8.5,3,"A2",15000,259,"0"
1436,"마포","도화동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A2",8000,110,"0"
1434,"서산","테크노밸리",1,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,7,"C3",5000,70,"0"
1432,"하남","덕풍동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A2",12000,284,"0"
1431,"중구","신당동",2,16,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8.5,3,"A2",15000,306,"0"
1430,"평택","국가산업단지",1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,"C1",40000,598,"0"
1428,"중구","신당동",2,15,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8.5,3,"A2",10000,196,"0"
1427,"아산","유신빌딩",2,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.5,6,"C2",5000,82,"0"
1426,"용인","중동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,"A2",8000,200,"0"
1425,"금천","시흥동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.5,6,"A3",8000,242,"0"
1423,"용인","메종",1,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.56,2,"B2",35000,585,"0"
1422,"강남","청담동",1,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.7,5,"A3",20000,423,"0"
1421,"캠프","험프리",1,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,2,"C1",5000,64,"0"
1420,"수원","북수동",2,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,15,7,"D2",5000,122,"0"
1419,"용산","신계동",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,6,"A3",20000,246,"0"
1418,"아산","유신빌딩",2,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.5,6,"C2",6000,83,"0"
1417,"평택","국가산업단지",1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,"C1",50000,910,"0"
1414,"평택","국가산업단지",1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,"C1",30000,631,"0"
1413,"아산","유신빌딩",2,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.5,6,"C2",5000,104,"0"
1410,"부산","화명동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A3",7000,224,"0"
1409,"캠프","험프리",1,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,1,"C1",5000,49,"0"
1408,"캠프","험프리",1,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,1,"C1",5000,65,"0"
1407,"중구","신당동",2,14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8.5,3,"A2",10000,265,"0"
1406,"아산","유신빌딩",2,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.5,6,"C2",7000,132,"0"
1405,"해운대구","중동",2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A3",5000,126,"0"
1403,"중구","신당동",2,13,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8.5,3,"A2",10000,253,"0"
1402,"평택","국가산업단지",1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,"C1",80000,1673,"0"
1401,"강남","청담동",2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5,6,"A2",10000,222,"0"
1400,"서산","테크노밸리",1,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,7,"C3",5000,78,"0"
1398,"아산","유신빌딩",2,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.5,6,"C2",7000,67,"0"
1397,"부산","화명동",2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A2",5000,80,"0"
1393,"용인","상현동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,"A2",12000,299,"0"
1392,"해운대구","중동",2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A3",3000,69,"0"
1391,"서초","양재동",2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.5,6,"A3",3000,62,"0"
1389,"중구","신당동",2,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8.5,3,"A2",10000,204,"0"
1388,"아산","유신빌딩",2,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.5,6,"C2",5000,62,"0"
1387,"평택","국가산업단지",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,"C1",80000,1549,"0"
1383,"서귀포","산방산",1,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.77,7,"B3",30000,781,"0"
1382,"아산","유신빌딩",2,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.5,6,"C2",5000,113,"0"
1380,"서울","서교동",2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,"D2",17000,352,"0"
1379,"중구","신당동",2,11,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8.5,3,"A2",10000,169,"0"
1378,"서초","양재동",2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.5,6,"A3",5000,97,"0"
1377,"용산","효창동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A2",5000,164,"0"
1373,"인천","용현동",1,12,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12,8,"B1",15000,366,"0"
1372,"서산","테크노밸리",1,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,7,"C3",15000,368,"0"
1370,"중구","신당동",2,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8.5,3,"A2",10000,167,"0"
1368,"서울","서교동",2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,"D2",25000,568,"0"
1367,"수원","북수동",2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,15,8,"D2",12000,205,"0"
1365,"강남","청담동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5,6,"A2",10000,222,"0"
1364,"해운대구","중동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A3",5000,138,"0"
1363,"부산","화명동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A2",5000,198,"0"
1362,"송파","풍납동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A2",5000,128,"0"
1361,"아산","유신빌딩",2,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.5,6,"C2",8000,185,"0"
1360,"양천","신정동",2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,6,"A3",5000,125,"0"
1358,"중구","신당동",2,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8.5,3,"A2",10000,219,"0"
1357,"아산","유신빌딩",2,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.5,6,"C2",2000,29,"0"
1354,"합천아파트","신축사업",1,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.98,5,"B2",50000,1206,"0"
1352,"수원","북수동",2,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,15,6,"D2",12000,219,"0"
1351,"용인","메종",1,8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.84,2,"B3",15000,168,"0"
1350,"서초","양재동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.5,6,"A3",5000,129,"0"
1349,"성북","하월곡동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A2",17000,276,"0"
1346,"강남","대치동",4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,"A3",8000,168,"0"
1345,"성동","홍익동",2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5,6,"A3",3000,93,"0"
1344,"아산","유신빌딩",2,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.5,6,"C2",10000,186,"0"
1340,"양천","신정동",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,6,"A3",5000,133,"0"
1339,"강남","대치동",4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,"A3",5000,68,"0"
1338,"부산","해운대구",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,"A3",5200,114,"0"
1337,"관악","봉천동",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5,6,"A3",6000,194,"0"
1336,"성남","서현동",4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9.5,12,"A2",2000,44,"0"
1335,"서초","신원동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,6,"A3",5000,154,"0"
1333,"아산","유신빌딩",2,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.5,6,"C2",10000,195,"0"
1332,"중구","신당동",2,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8.5,3,"A2",10000,182,"0"
1328,"고양","신원동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,6,"A2",8000,137,"0"
1329,"강동","상일동",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5,6,"A2",13000,256,"0"
1327,"성동","옥수동",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5,6,"A2",15000,301,"0"
1326,"성동","홍익동",2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5,6,"A3",2000,53,"0"
1323,"인천","송도동",1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A2",3000,77,"0"
1322,"중구","신당동",2,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8.5,3,"A2",10000,222,"0"
1321,"인천","송도동",1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A2",5000,129,"0"
1320,"서울","동선동5가",2,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,"D2",5000,109,"0"
1317,"노원","중계동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A3",11000,226,"0"
1316,"인천","송도동",1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A2",5000,97,"0"
1314,"중구","신당동",2,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8.5,3,"A2",10000,220,"0"
1313,"인천","송도동",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A2",10000,171,"0"
1312,"성동","홍익동",2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5,6,"A3",2000,42,"0"
1311,"진안군청","인근",1,9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.28,7,"B1",15000,428,"0"
1310,"송파","잠실동",3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5,6,"A3",8000,59,"0"
1309,"의정부","낙양동",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,"A2",5000,92,"0"
1308,"서초","신원동",3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5,6,"A3",3000,73,"0"
1307,"성동","옥수동",3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,6,"A2",2000,49,"0"
1306,"중구","신당동",2,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8.5,3,"A2",10000,229,"0"
1305,"인천","송도동",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A2",10000,175,"0"
1304,"아산","유신빌딩",2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.5,7,"C2",10000,181,"0"
1303,"원주","세브란스",1,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,6,"B3",67000,1088,"0"
1302,"중구","신당동",2,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8.5,3,"A2",10000,210,"0"
1301,"성동","홍익동",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5,6,"A3",5000,154,"0"
1299,"원주","세브란스",1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,6,"B3",83000,1282,"0"
1298,"원주","세브란스",1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,6,"B3",1e+05,1766,"0"
1297,"원주","세브란스",1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,6,"B3",150000,2732,"0"
1296,"인천","송도동",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A2",15000,337,"0"
1295,"중구","신당동",2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8.5,3,"A2",10000,269,"0"
1294,"아산","유신빌딩",2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.5,7,"C2",10000,275,"0"
1293,"송파","잠실동",2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5,6,"A2",15000,298,"0"
1292,"아산","유신빌딩",2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.5,6,"C2",30000,687,"0"
1291,"제주","신화월드",1,17,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.21,7,"B1",50000,1048,"0"
1285,"송파","잠실동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5,6,"A2",15000,299,"0"
1284,"노원","중계동",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5,6,"A3",7000,154,"0"
1283,"중구","신당동",2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8.5,3,"A2",20000,317,"0"
1282,"송파","마천동",2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5,6,"A3",8400,220,"0"
1281,"중구","신당동",2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8.5,3,"A2",45000,407,"0"
1278,"서울","동선동5가",2,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,"D2",25000,532,"0"
1277,"동대문","답십리동",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5,6,"A3",5000,166,"0"
1276,"양평역","인근",1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,"C1",26000,659,"0"
1275,"서산","테크노밸리",1,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,8,"C3",10000,214,"0"
1273,"서초","우면동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A3",10000,275,"0"
1270,"서초","잠원동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A3",20000,279,"0"
1269,"부산","우동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A3",12000,258,"0"
1268,"성남","창곡동",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A3",10000,229,"0"
1267,"수원","이의동",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,"A2",18000,373,"0"
1266,"송파","마천동",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5,6,"A3",8600,209,"0"
1265,"송파","신천동",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5,6,"A3",5000,153,"0"
1262,"화성","반송동",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,9,6,"A2",15000,338,"0"
1260,"제주","신화월드",1,16,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.21,7,"B1",55000,1231,"0"
1257,"강남","삼성동",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,6,"A2",49000,760,"0"
